purchasing,purchased,total
A01,A01,47471.03
A02,A01,420.43
A03,A01,39.09
B,A01,30.26
C10-C12,A01,172229.65
C13-C15,A01,1580.33
C16,A01,189.49
C17,A01,96.69
C18,A01,41.94
C19,A01,31.18
C20,A01,1389.90
C21,A01,244.21
C22,A01,1512.85
C23,A01,32.41
C24,A01,35.34
C25,A01,143.57
C26,A01,24.44
C27,A01,41.3
C28,A01,87.36
C29,A01,59.6
C30,A01,11.07
C31_C32,A01,92.48
C33,A01,89.19
D35,A01,639.19
E36,A01,11.29
E37-E39,A01,122.89
F,A01,680.93
G45,A01,305.11
G46,A01,7150.67
G47,A01,2339.02
H49,A01,273.05
H50,A01,129.6
H51,A01,1.83
H52,A01,275.46
H53,A01,3.13
I,A01,8146.69
J58,A01,34.85
J59_J60,A01,29.29
J61,A01,20.64
J62_J63,A01,167.59
K64,A01,6.17
K65,A01,1.45
K66,A01,2.99
L68B,A01,839.77
L68A,A01,58.77
M69_M70,A01,243.1
M71,A01,199.6
M72,A01,208.05
M73,A01,84.1
M74_M75,A01,375.89
N77,A01,330.72
N78,A01,40.07
N79,A01,11.57
N80-N82,A01,1304.63
O84,A01,1102.94
P85,A01,219.06
Q86,A01,729.58
Q87_Q88,A01,604.96
R90-R92,A01,149.28
R93,A01,287.52
S94,A01,104.85
S95,A01,15.31
S96,A01,116.8
T,A01,2.12
U,A01,0
P3,A01,100110.51
P51,A01,5379.22
A01,A02,309
A02,A02,5427.89
A03,A02,5.47
B,A02,72.3
C10-C12,A02,317.1
C13-C15,A02,27.51
C16,A02,9974.41
C17,A02,3573.32
C18,A02,64.3
C19,A02,11.36
C20,A02,100.65
C21,A02,21.26
C22,A02,214.98
C23,A02,29.18
C24,A02,23.74
C25,A02,82.38
C26,A02,8.64
C27,A02,10.54
C28,A02,24.33
C29,A02,20.75
C30,A02,10.66
C31_C32,A02,432.95
C33,A02,43.44
D35,A02,247.59
E36,A02,2.31
E37-E39,A02,52.7
F,A02,527.05
G45,A02,24.55
G46,A02,339.24
G47,A02,168.88
H49,A02,49.83
H50,A02,0.13
H51,A02,0.14
H52,A02,41.81
H53,A02,0.21
I,A02,69.29
J58,A02,13.14
J59_J60,A02,9.4
J61,A02,1.17
J62_J63,A02,17.08
K64,A02,1.92
K65,A02,0.07
K66,A02,1.22
L68B,A02,91
L68A,A02,9.24
M69_M70,A02,31.59
M71,A02,16.12
M72,A02,17.34
M73,A02,6
M74_M75,A02,15.96
N77,A02,28.47
N78,A02,4.19
N79,A02,2.34
N80-N82,A02,113.65
O84,A02,117
P85,A02,13.02
Q86,A02,11.02
Q87_Q88,A02,5.25
R90-R92,A02,22.9
R93,A02,23.83
