purchasing,purchased,total
A01,A01,9742.12
A01,A02,0
A01,A03,0
A01,B,90.66
A01,C10-12,4812.52
A01,C13-15,51.08
A01,C16,323.08
A01,C17,96.86
A01,C18,0.14
A01,C19,971.69
A01,C20,1669.02
A01,C21,125.49
A01,C22,192.27
A01,C23,146.05
A01,C24,0
A01,C25,144.21
A01,C26,0.01
A01,C27,8.92
A01,C28,16.71
A01,C29,77.51
A01,C30,0.02
A01,C31_32,0.03
A01,C33,2166
A01,D,764.02
A01,E36,335.38
A01,E37-39,56.1
A01,F,282.36
A01,G45,202.26
A01,G46,2580.8
A01,G47,254.58
A01,H49,481.13
A01,H50,6.46
A01,H51,9.11
A01,H52,42.81
A01,H53,8.39
A01,I,35.63
A01,J58,128.25
A01,J59_60,0.03
A01,J61,29.37
A01,J62_63,0.14
A01,K64,1032.3
A01,K65,546.15
A01,K66,9.62
A01,L68B,16.46
A01,L68A,0
A01,M69_70,577.41
A01,M71,256.88
A01,M72,0
A01,M73,0.09
A01,M74_75,419.9
A01,N77,288.79
A01,N78,0.25
A01,N79,0
A01,N80-82,126.85
A01,O,0
A01,P,112.05
A01,Q86,0.05
A01,Q87_88,0
A01,R90-92,0.05
A01,R93,0.06
A01,S94,0
A01,S95,0
A01,S96,0.02
A01,T,0
A01,HH,6215.12
A02,A01,118.94
A02,A02,1398.51
A02,A03,2.72
A02,B,0.81
A02,C10-12,0.74
A02,C13-15,0.41
A02,C16,0.03
A02,C17,1.27
A02,C18,1.32
A02,C19,36.74
A02,C20,9.2
A02,C21,0.02
A02,C22,2.41
A02,C23,2.8
A02,C24,5.64
A02,C25,10.04
A02,C26,0.06
A02,C27,0.49
A02,C28,17.88
A02,C29,2.89
A02,C30,0.63
A02,C31_32,0.15
A02,C33,12.6
A02,D,15.76
A02,E36,1.2
A02,E37-39,2.9
A02,F,20.79
A02,G45,5.34
A02,G46,423.2
A02,G47,41.89
A02,H49,53.17
A02,H50,0.71
A02,H51,0.75
A02,H52,5.52
A02,H53,3.9
A02,I,1.89
A02,J58,1.32
A02,J59_60,0.81
A02,J61,7.04
A02,J62_63,1.76
A02,K64,38.34
A02,K65,37.05
A02,K66,13.18
A02,L68B,3.64
A02,L68A,0
A02,M69_70,23.32
A02,M71,14.69
A02,M72,0
A02,M73,0.35
A02,M74_75,5.94
A02,N77,9.47
A02,N78,9.17
A02,N79,0.01
A02,N80-82,16.94
A02,O,0
A02,P,14.02
A02,Q86,0.2
A02,Q87_88,0
A02,R90-92,0.14
A02,R93,0.15
A02,S94,0
A02,S95,20.09
A02,S96,0
A02,T,0
A02,HH,1049.47
A03,A01,0
A03,A02,0
A03,A03,36.39
A03,B,31.15
A03,C10-12,43.87
A03,C13-15,2.78
A03,C16,21.62
A03,C17,3.67
A03,C18,4.18
A03,C19,69.06
A03,C20,89.26
A03,C21,6.45
A03,C22,11.34
A03,C23,13.19
A03,C24,0
A03,C25,8.07
A03,C26,0
A03,C27,0.66
A03,C28,26.85
A03,C29,0
A03,C30,0
A03,C31_32,1.1
A03,C33,0
A03,D,28.18
A03,E36,20.66
A03,E37-39,0.89
A03,F,9.9
A03,G45,14.88
A03,G46,123.88
A03,G47,12.21
A03,H49,21.24
A03,H50,0.26
A03,H51,0.24
A03,H52,5.52
A03,H53,0
A03,I,0
A03,J58,0.47
A03,J59_60,3.59
A03,J61,1
A03,J62_63,0
A03,K64,105.69
A03,K65,13.38
A03,K66,0
A03,L68B,1.03
A03,L68A,0
A03,M69_70,74
A03,M71,0
A03,M72,0
A03,M73,0
A03,M74_75,4.89
A03,N77,25.35
A03,N78,4
A03,N79,0
A03,N80-82,2.11
A03,O,0
A03,P,7.66
A03,Q86,0
A03,Q87_88,0
A03,R90-92,0
A03,R93,0
A03,S94,0
A03,S95,44.83
A03,S96,5.17
A03,T,0
A03,HH,456
B,A01,0
B,A02,0
B,A03,0
B,B,86.97
B,C10-12,33
B,C13-15,2.36
B,C16,25.23
B,C17,13.16
B,C18,6.31
B,C19,77.54
B,C20,42.75
B,C21,0
B,C22,30.4
B,C23,184.5
B,C24,5.69
B,C25,90.15
B,C26,3.73
B,C27,5.38
B,C28,78.67
B,C29,1.16
B,C30,0.01
B,C31_32,0
B,C33,119.9
B,D,110.29
B,E36,0.01
B,E37-39,42.13
B,F,59.48
B,G45,14.88
B,G46,323.43
B,G47,24.98
B,H49,47.08
B,H50,0.47
B,H51,2.77
B,H52,100.88
B,H53,2.41
B,I,55.91
B,J58,0.54
B,J59_60,1.43
B,J61,26.79
B,J62_63,3.87
B,K64,114.73
B,K65,31.18
B,K66,14.24
B,L68B,78.86
B,L68A,0
B,M69_70,164.49
B,M71,61.08
B,M72,0
B,M73,11.96
B,M74_75,3.91
B,N77,44.23
B,N78,80.01
B,N79,2.68
B,N80-82,57.49
B,O,0
B,P,20.48
B,Q86,0.52
B,Q87_88,0
B,R90-92,0
B,R93,0
B,S94,0
B,S95,0
B,S96,0
B,T,0
B,HH,931.15
C10-12,A01,30161.01
C10-12,A02,2.93
C10-12,A03,670.49
C10-12,B,445.19
C10-12,C10-12,19090.39
C10-12,C13-15,83.32
C10-12,C16,264.8
C10-12,C17,894.1
C10-12,C18,111.5
C10-12,C19,517.87
C10-12,C20,716.31
C10-12,C21,36.64
C10-12,C22,1481.45
C10-12,C23,411.34
C10-12,C24,16.43
C10-12,C25,1011.77
C10-12,C26,12.99
C10-12,C27,43.05
C10-12,C28,189.67
C10-12,C29,53.32
C10-12,C30,1.34
C10-12,C31_32,48.34
C10-12,C33,485.97
C10-12,D,2233.91
C10-12,E36,479.61
C10-12,E37-39,627.4
C10-12,F,177.46
C10-12,G45,203.08
C10-12,G46,9278.58
